"","ARR_DEL15","DAY_OF_WEEK","CARRIER","DEST","ORIGIN","DEP_TIME_BLK"
"6091","0.00","2","AA","ORD","PHX","0600-0659"
"6103","0.00","2","AA","ORD","ATL","0001-0559"
"7380","0.00","2","F9","LAS","ATL","2100-2159"
"7392","0.00","2","F9","LAX","ORD","2100-2159"
"7393","0.00","2","F9","ORD","LAX","0001-0559"
"7404","0.00","2","F9","LAS","SFO","2100-2159"
"7415","0.00","2","F9","ORD","SFO","1300-1359"
"7416","0.00","2","F9","ATL","ORD","1900-1959"
"7449","0.00","2","F9","ORD","ATL","0600-0659"
"7451","0.00","2","F9","ORD","PHX","1200-1259"
"7454","0.00","2","F9","ATL","LAX","2200-2259"
"7483","0.00","2","F9","SFO","PHX","1800-1859"
"7490","0.00","2","F9","ORD","LAS","2200-2259"
"7534","0.00","2","F9","ORD","LAS","0600-0659"
